speciality,location,name,experience,clinic_name,doctor_address,consultation_fee,recommendation_percent,patient_stories,doctor_url,contact_number,detailed_qualifications
Cosmetologist,Mumbai,Dr. Sonia Tekchandani,39,Tender Skin International,"Andheri West,",1500,94%,504,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Resham Vasani Bhojani,26,BHOJANI CLINIC,"Matunga,",1900,99%,595,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Kiran Katkar,40,Dr Kiran Katkar''s Dermis Skin Wellness Clinic Lase,"Dadar West,",1200,93%,633,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Sejal Saheta,21,Inurskn - Skin & Hair Clinic,"Powai,",1100,95%,501,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Priyanka S Jain,14,SKIN PRAXIS,"Sion,",1200,99%,171,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Ajay Nimbalkar,14,Dermavenue Advanced Skin And Hair Clinic,"Khar West,",1500,95%,111,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Saumya Shetty,14,Roots Skin Hair and Laser Clinic,"Chembur East,",800,91%,624,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Simran Agrawal Marda,8,Dr.Sheth''s Skin And Hair Clinic,"Marine Lines,",1750,Not available,Not available,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Haresh  Timbadia,44,Bienaura Clinic,"Borivali West,",1200,95%,224,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Bhavesh Gupta,16,Clinique Internationale,"Worli,",500,99%,390,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Sweta S Gupta,13,Clinique Internationale,"Worli,",500,99%,274,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Sumit Agrawal,23,Harleys Clinic,"Andheri West,",1500,98%,927,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Shahid Saiyed,13,Krasiva Clinic,"Bandra West,",1000,95%,333,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Apeksha Chaudhari,11,Tirth Skin Galaxy,"Marol,",1000,97%,112,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Ganesh Avhad,17,Skin & Hair World,"Sion,",1000,98%,118,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Raina Nahar,17,Kaizen Skin Clinic,"Andheri West,",1000,92%,395,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Sujit Shanshanwal,16,SkinAmour Clinic,"Santacruz West,",1500,99%,1200,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Darshan Desai,24,AyuMD Super Speciality Ayurveda for Psoriasis & Vitiligo,"Borivali West,",1600,98%,62,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Sarika Holmukhe,20,Dr Skinn Clinic,"Andheri West,",1500,95%,317,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Nikunj Mody,18,Zenil Aesthetics & Dental Studio,"Ghatkopar West,",1500,98%,62,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Priyam Bhagat,22,"Finesse Laser Skin clinic, Goregaon","Goregaon East,",2000,97%,506,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Radhika Kopikar,16,Kopikar Dermatology,"Vikhroli East,",1500,96%,360,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Mohd Asif,13,Cara Hair Transplant & Aesthetic Clinic,"Santacruz West,",1000,98%,173,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Niketa Sonavane,20,Ambrosia Aesthetics,"Andheri West,",3000,93%,615,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Gayatri Bharadwaj,35,Dr. Gayatri''s Skin Clinic,"Mulund West,",1500,84%,300,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Ujjvala Jadhav,26,The Skin Clinic,"Goregaon East,",1200,94%,187,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Harish Balaji,12,Dermexperia,"Santacruz West,",800,97%,36,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Rucha Kagne,24,Dr Rucha''s ZENE Skin Hair Laser Clinic,"Mahim,",1500,99%,212,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Nasreen Akhai,13,South Bay Dental And Cosmetic Clinic,"Lower Parel,",300,100%,6,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Pradnya Manwatkar,20,Skin Matra,"Mahim,",2000,99%,600,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Rahul Shetty,16,Dr. Rahul Shetty''s Dermatology Centre,"Vileparle West,",1200,98%,53,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Raashi Mehta,15,Dr. Raashi Mehtas Skin Clinic,"Peddar Road,",2000,95%,80,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Shweta Bhanushali,8,Phi Clinic,"Chembur,",800,78%,9,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Agni Kumar Bose,7,Dr Sheth''s Skin And Hair Clinic,"Juhu,",1750,100%,31,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Shankar Sawant,23,S.L. Raheja Hospital – A Fortis Associate,"Mahim,",1800,67%,6,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Geoffrey Vaz,13,Maven Esthetics,"Versova,",1000,95%,21,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Rahul Siraskar,16,SkinAmour Clinic,"Sion,",1000,98%,80,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Bhushan S  Bawankar,15,Skin Town Clinic,"Matunga West,",1200,97%,188,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Shruti Chavan,15,Youthville Clinic LLP,"Andheri West,",1200,100%,66,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Nikita Jadhav,11,Advance Skin Health Clinic,"Lal baug,",1500,87%,30,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Supriya V.B.,15,Dermashrine,"Bandra West,",1200,100%,2,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Gauri K Godse,7,Dr Gauri Godse Gurjar Clinic,"Mahim,",1500,89%,9,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Rahat Zamani Arif Khan,14,Dr Batra''s Positive Health Clinic Pvt Ltd,"Ghatkopar East,",499,Not available,Not available,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Gagan  Raina,29,Arisia,"Sahakar Nagar,",1000,Not available,Not available,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Gayatri Rewaskar,6,Phi Clinic,"Chembur,",800,Not available,Not available,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Divya Mhatre,4,Phi Clinic,"Chembur,",800,Not available,Not available,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Sharmila Nayak,27,The Skin 1st Clinic,"Andheri West,",1500,97%,304,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Pallavi Rathi,21,My Skin My Health,"Andheri East,",1200,89%,644,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Shubhangi Mahajan,15,Skin Omega Clinic,"Parel,",1000,99%,98,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Meghna Mour,26,Dr. Meghna Mour face and skin clinic,"Vileparle East,",2000,94%,542,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Sana Bhamla,17,Dr. Sana Bhamla - Kyshha Skin And Hair Clinic,"Mumbai Central,",2000,95%,299,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Zeenat Bhalwani,24,Dr Zeenats Skin Clinic,"Andheri West,",1500,99%,525,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Pooja Chopra,18,The Skin Talk Clinic,"Andheri West,",1500,96%,100,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Amit Gulati,18,Akira Skin And Hair Clinic,"Malad West,",1200,99%,70,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Deepam J. Shah,15,Viva Aesthetic Clinic,"Opera House,",2000,96%,539,Not available,Not available,Not available
Cosmetologist,Mumbai,Dr. Madhulika Mhatre,15,Mulekar Vitilgo Clinic,"Andheri West,",500,100%,45,Not available,Not available,Not available
