speciality,location,name,experience,clinic_name,doctor_address,consultation_fee,recommendation_percent,patient_stories,doctor_url,contact_number,detailed_qualifications
Cosmetologist,Noida,Dr. Chanchal Choudhary,21,La Fameux Derma Skin And Hair Clinic,"Sector 50,",800,94%,110,Not available,Not available,Not available
Cosmetologist,Noida,Dr. Abhinav Singh,14,"SkinFine - Skin,Hair and Laser Clinic","Sector 39,",800,92%,146,Not available,Not available,Not available
Cosmetologist,Noida,Dr. Radha Sharma,14,Arcane Skin & Hair Clinic,"Sector 18,",1000,93%,29,Not available,Not available,Not available
Cosmetologist,Noida,Dr. Nidhi Paliwal,11,Skin Rehab Clinic,"Sector 41,",800,95%,164,Not available,Not available,Not available
Cosmetologist,Noida,Dr. Atul Grover,32,Skin Medicare,"Sector 29,",600,74%,193,Not available,Not available,Not available
Cosmetologist,Noida,Dr. Oshin Agrawal,11,Cosmoshine Orthcure Clinic,"Sector 19,",800,89%,9,Not available,Not available,Not available
Cosmetologist,Noida,Dr. Parineeta Maria,14,"Max Super Speciality Hospital, Noida","Sector 128,",1200,100%,3,Not available,Not available,Not available
Cosmetologist,Noida,Dr. Satish Titoria,21,Dr Titoria''s Clinic,"Sector 78,",1000,94%,3105,Not available,Not available,Not available
Cosmetologist,Noida,Dr. Sakshi Srivastava,17,"Max Super Speciality Hospital, Noida","Sector 128,",1200,33%,15,Not available,Not available,Not available
Cosmetologist,Noida,Dr. Ekta Yadav,20,Glow More  Clinic,"Sector 33,",500,100%,9,Not available,Not available,Not available
Cosmetologist,Noida,Dr. Anuja Agarwal,27,Apollo Hospitals,"Sector 26,",900,88%,82,Not available,Not available,Not available
Cosmetologist,Noida,Dr. Ipshita Johri,13,"Skinfinity Derma Skin, Hair  And Laser Clinic","Sector 36,",1000,95%,812,Not available,Not available,Not available
Cosmetologist,Noida,Dr. Ashish Rai,27,"Max Super Speciality Hospital, Noida","Sector 128,",1200,100%,5,Not available,Not available,Not available
Cosmetologist,Noida,Dr. Kapil Arora,14,Apollo Hospitals,"Sector 26,",800,Not available,Not available,Not available,Not available,Not available
